[2.9944375,-0.45914092];[2.30343809e-03,8.10256707e-04,-6.88974031e-02,9.97620762e-01];[[0.40575709, -0.81889536], [5.40000008, 1.75000007], [4.05000006, -1.39999998], [5.90000009, -2.09999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18784.179791266743], [90.92140986579604], [102.08495383440552], [272.3357209486868], [0], [0], [0], [0], [0], [0]];[0.40575709,-0.81889536]
[0.14428253,-0.79915003];[-0.00357356,-0.00241462,0.98300094,-0.18354984];[[0.52930773, -1.73348786], [4.70627577, -3.15086571], [5.30000034, 1.90000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[40251.09548260268], [20572.11223605463], [77.31145118109652], [0], [0], [0], [0], [0], [0], [0]];[0.52930773,-1.73348786]
[0.44311905,-1.47971268];[-0.00114225,0.0031788,-0.59260106,0.80548903];[[0.39594423, -1.79815319], [6.47024107, -4.10895348], [5.30000034, 1.90000029], [4.80000033, -3.29999978], [-1.50069988, -1.70008683], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[328.059836252748], [267.6520716703439], [9.363569760441194], [5919.370928344898], [367.6027061545751], [0], [0], [0], [0], [0]];[4.80000033,-3.29999978]
[3.45438196,-0.63471851];[2.00004825e-03,9.03304866e-04,-2.59844099e-01,9.65648084e-01];[[-2.31914182, -3.73173693], [3.78587098, -2.90705442], [6.82979298, -4.81193113], [-1.5870738, -0.03540266], [5.40000034, 1.90000033], [0.60000027, -2.69999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1343.9033479862258], [23.764157505436778], [0.0], [540.7051370715225], [15.678908045725638], [6173.747209234689], [0], [0], [0], [0]];[0.60000027,-2.69999974]
[0.59689339,-2.73682338];[1.50994516e-03,-5.38214540e-04,9.82488057e-01,-1.86318687e-01];[[4.91845631, -4.06367084], [2.40000029, -5.43333349], [-2.19912427, -3.55770609], [3.50000031, 1.89999995], [0.50000027, -3.20000013], [-0.89999976, -5.40000016], [-3.30084658, -0.00124461204], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[68.08724906910838], [15.500975554834607], [38.170145209121756], [451.6546290061577], [74.05606330965992], [24.651034494589428], [15.500975554834675], [0], [0], [0]];[3.50000031,1.89999995]
