robot_position,robot_orientation,centroid_record,info_gain_record,best_centroid
"0.16242917,0.21177366","-1.42351690e-04,7.40923848e-04,2.86345322e-01,9.58126181e-01","[[2.90000004, 0.60000001], [2.30000004, -1.40000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0]]","[13.217020010790284, 12.964275438966753, 13.205260754743962, [0], [0]]",[2.90000004 0.60000001]
"2.63407336,0.55699101","-9.01934245e-04,-2.12906192e-03,7.77242388e-02,9.96972217e-01","[[3.74604042, 0.16498796], [2.0639914, 3.46168459], [0.63955605, 1.5085144], [0.0, 0.0], [0.0, 0.0]]","[50.655927073199095, 23.703428294695872, 986.9867375079635, [0], [0]]",[0.63955605 1.5085144 ]
"0.87930256,1.39520274","-0.00268574,0.0014969,0.96803978,0.25077789","[[3.09598073, -1.87930741], [-0.08463578, 0.07798843], [4.60000015, -0.40000001], [0.0, 0.0], [0.0, 0.0]]","[36.92764330036252, 40.86625326298106, 37.14534751500741, [0], [0]]",[-0.08463578  0.07798843]
