robot_position,robot_orientation,centroid_record,info_gain_record
0.04972004706844565,-0.3124665542357
-0.0011597595934570175,9.976340909964243e-05,-0.7112534090078713,0.7029347173853194
"[3.06299043, 0.5448482]","[1.41894469, 1.80222198]","[3.40000005, 3.80000005]"
300.00065892336585,0.0,278.1089596515417
