[3.14196023,0.92917889];[-7.47512491e-05,-1.08690591e-03,1.38298351e-01,9.90390013e-01];[[4.74572963, -0.10428366], [4.90000007, 1.70000002], [3.80000006, 5.00000007], [1.30000002, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[119.50741964087938], [56.13586724776165], [50.66686057814025], [56.112820391850306], [0], [0], [0], [0], [0], [0]];[4.74572963,-0.10428366]
[4.52477964,0.02754803];[5.76886187e-04,-4.47356337e-04,-2.70676360e-01,9.62670129e-01];[[2.74896339, -2.50322077], [4.60000007, -2.29999985], [3.80000006, 5.00000026], [1.30000002, 2.80000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.616355101008107], [25.391121649877253], [22.7424308033], [22.685871459203085], [0], [0], [0], [0], [0], [0]];[4.60000007,-2.29999985]
[4.59095943,-2.03330184];[7.26107151e-04,-4.00657791e-04,-6.93511461e-01,7.20445121e-01];[[5.20000008, -2.79999986], [3.80000006, 5.00000026], [2.80000004, -3.19999986], [2.30054164, 4.40169001], [1.30000002, 2.80000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.004080861434854], [11.108141892778551], [13.530996524283136], [11.108141892778551], [12.211970369114686], [0], [0], [0], [0], [0]];[5.20000008,-2.79999986]
[5.04898732,-2.60011456];[1.42794520e-03,-4.09628520e-04,-4.38770599e-01,8.98597885e-01];[[2.30000004, -3.54999987], [9.10000014, -4.99999989], [3.80000006, 5.00000026], [1.30000002, 2.80000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.40764067404429], [52.410691126539625], [11.093860404379523], [11.09386040437952], [0], [0], [0], [0], [0], [0]];[9.10000014,-4.99999989]
[-6.99973401,-4.94013384];[0.00282271,-0.00284747,-0.58448145,0.81139717];[[-0.25000023, -4.00000006], [0.19361949, 3.97962499], [-0.80000024, 2.00000003], [-5.50000031, -0.40000001], [-8.81306362, -0.59920734], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.46763683232746], [15.146083569870314], [15.146083569870294], [15.467636832327502], [15.801195163096612], [0], [0], [0], [0], [0]];[-8.81306362,-0.59920734]
[-8.73354477,-0.82708181];[-0.0010816,-0.00130991,0.80750312,0.58986084];[[-0.25000023, -4.00000006], [-0.80000024, 2.00000003], [-4.30000029, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-0.25000023,-4.00000006]
[-0.45893519,-3.87691588];[0.0017672,-0.00652972,-0.29768293,0.95464083];[[-0.43339283, 2.10076548], [-0.79552851, -3.64669886], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.43339283,2.10076548]
